Frame,Time (s),Pitch (rad),Yaw (rad),Pitch (deg),Yaw (deg),Screen X (px),Screen Y (px),Distance (cm)
270,13.5,-0.062528364,0.03315263,-3.582611,1.8995056,1660,529,145.70416
271,13.55,-0.06886775,0.047074303,-3.9458313,2.6971588,1699,449,145.70416
272,13.6,-0.06459923,0.017269535,-3.7012632,0.98947144,1673,620,145.70416
273,13.65,-0.057390325,-0.0015350461,-3.2882233,-0.08795166,1629,728,145.70416
274,13.7,-0.06326792,0.01356055,-3.6249845,0.7769623,1665,642,145.70416
275,13.75,-0.06245619,0.004534831,-3.578476,0.25982666,1660,694,145.70416
276,13.8,-0.046599198,-0.0060179452,-2.6699371,-0.34480286,1563,754,145.70416
277,13.85,-0.045498244,-0.0045119277,-2.6068573,-0.2585144,1557,745,145.70416
278,13.9,-0.044491038,-0.005621135,-2.5491486,-0.3220673,1550,752,145.70416
279,13.95,-0.04999153,-0.007957526,-2.8643036,-0.45593262,1584,765,145.70416
280,14.0,-0.057673417,0.011692342,-3.3044431,0.6699218,1631,652,145.70416
281,14.05,-0.056225725,0.0053407033,-3.2214966,0.30599976,1604,690,138.05728
282,14.1,-0.058626033,0.005247759,-3.359024,0.30067444,1618,691,138.05728
283,14.15,-0.06291985,0.0058858525,-3.6050415,0.3372345,1643,688,138.05728
284,14.2,-0.060743243,0.00512552,-3.4803312,0.29367062,1630,692,138.05728
285,14.25,-0.065942265,-0.022254441,-3.7782133,-1.2750854,1681,847,145.70416
286,14.3,-0.05883509,0.013062007,-3.3710022,0.7483978,1638,645,145.70416
287,14.35,-0.06318217,0.012750949,-3.6200714,0.7305755,1664,646,145.70416
288,14.4,-0.051433366,0.014586932,-2.9469147,0.8357696,1593,636,145.70416
289,14.45,-0.0638144,0.020211529,-3.6562958,1.1580353,1668,604,145.70416
290,14.5,-0.06315394,0.02113618,-3.618454,1.2110138,1664,598,145.70416
291,14.55,-0.067784645,0.01938435,-3.8837738,1.1106414,1693,608,145.70416
292,14.6,-0.069221415,0.023556726,-3.9660947,1.3497009,1701,584,145.70416
293,14.65,-0.061840467,0.02516501,-3.5431976,1.4418488,1656,575,145.70416
294,14.7,-0.061468158,0.020739634,-3.5218658,1.1882935,1634,607,138.05728
295,14.75,-0.062139537,-0.008613995,-3.560333,-0.49354553,1638,766,138.05728
296,14.8,-0.05499268,-0.031300932,-3.1508482,-1.7934113,1614,899,145.70416
297,14.85,-0.073832944,-0.003978763,-4.2303157,-0.22796631,1730,742,145.70416
298,14.9,-0.0866795,0.0039028628,-4.9663696,0.22361755,1808,697,145.70416
299,14.95,-0.09127426,-0.0007275756,-5.2296295,-0.04168701,1836,724,145.70416
300,15.0,-0.08824917,0.0040828926,-5.0563045,0.2339325,1790,697,138.05728
301,15.05,-0.08287438,0.016533703,-4.748352,0.94731134,1758,630,138.05728
302,15.1,-0.08320089,-0.0005052017,-4.7670593,-0.028945923,1760,722,138.05728
303,15.15,-0.06733989,-0.016099075,-3.8582911,-0.922409,1668,807,138.05728
304,15.2,-0.062445004,-0.020276777,-3.5778348,-1.1617737,1640,830,138.05728
305,15.25,-0.05632666,0.018514296,-3.22728,1.060791,1605,619,138.24837
306,15.3,-0.061190654,0.0121597275,-3.505966,0.69670105,1633,653,138.24837
307,15.35,-0.06838305,0.010896324,-3.91806,0.62431335,1655,663,131.17209
308,15.4,-0.09262262,0.052567873,-5.3068852,3.011917,1788,448,131.17209
309,15.45,-0.06542082,0.01175546,-3.7483368,0.6735382,1658,656,138.24837
310,15.5,-0.10423426,0.046060435,-5.972183,2.6390684,1883,469,138.24837
311,15.55,-0.11800733,0.04050908,-6.7613215,2.3209991,1964,499,138.24837
312,15.6,-0.10172211,0.044956557,-5.828247,2.575821,1869,475,138.24837
313,15.65,-0.10761914,0.03857669,-6.166122,2.2102814,1903,510,138.24837
314,15.7,-0.11506321,0.04210458,-6.592636,2.4124146,1947,490,138.24837
315,15.75,-0.11231457,0.025755432,-6.43515,1.4756775,1931,579,138.24837
316,15.8,-0.127477,0.029256424,-7.303894,1.6762695,2020,560,138.24837
317,15.85,-0.124141924,0.020922327,-7.1128078,1.198761,2000,606,138.24837
318,15.9,-0.11511488,0.01791322,-6.595597,1.0263519,1947,622,138.24837
319,15.95,-0.118596956,0.023144202,-6.7951045,1.3260651,1967,594,138.24837
320,16.0,-0.11744966,0.007407849,-6.7293696,0.42443848,1960,679,138.05728
321,16.05,-0.12418587,0.012820193,-7.115326,0.7345429,1999,650,138.05728
322,16.1,-0.15327078,0.030997865,-8.781769,1.7760468,2171,551,138.24837
323,16.15,-0.1496883,0.044546966,-8.576508,2.552353,2149,477,138.05728
324,16.2,-0.13139452,0.034066893,-7.528351,1.951889,2041,534,138.05728
325,16.25,-0.13258867,0.031986963,-7.596771,1.8327179,2048,546,138.05728
326,16.3,-0.13031167,0.02244379,-7.466308,1.2859343,2035,598,138.05728
327,16.35,-0.1224106,0.020229107,-7.0136104,1.1590424,1989,610,138.05728
328,16.4,-0.10292186,-0.027140541,-5.896988,-1.5550383,1875,867,138.05728
329,16.45,-0.10263983,-0.022329006,-5.880829,-1.2793578,1873,841,138.05728
330,16.5,-0.105747476,-0.020589698,-6.0588837,-1.1797028,1891,831,138.05728
331,16.55,-0.108183995,-0.020124177,-6.198486,-1.1530303,1906,829,138.05728
332,16.6,-0.11114677,-0.025361283,-6.3682404,-1.4530944,1923,857,138.05728
333,16.65,-0.10022593,-0.025810825,-5.7425227,-1.4788512,1891,867,145.70416
